Overall rank,Country or region,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Alpha-3 code
129,Sierra Leone,4.374,0.268,0.841,0.242,0.309,0.252,0.045,SLE
130,Sri Lanka,4.3660000000000005,0.9490000000000001,1.265,0.831,0.47,0.244,0.047,LKA
131,Myanmar,4.36,0.71,1.181,0.555,0.525,0.5660000000000001,0.172,MMR
132,Chad,4.35,0.35,0.7659999999999999,0.192,0.174,0.198,0.078,TCD
133,Ukraine,4.332,0.82,1.39,0.7390000000000001,0.17800000000000002,0.187,0.01,UKR
134,Ethiopia,4.2860000000000005,0.336,1.033,0.532,0.344,0.209,0.1,ETH
135,Swaziland,4.212,0.8109999999999999,1.149,0.0,0.313,0.07400000000000001,0.135,SWZ
136,Uganda,4.189,0.332,1.069,0.44299999999999995,0.35600000000000004,0.252,0.06,UGA
137,Egypt,4.166,0.9129999999999999,1.0390000000000001,0.644,0.24100000000000002,0.076,0.067,EGY
138,Zambia,4.107,0.578,1.058,0.426,0.431,0.247,0.087,ZMB
139,Togo,4.085,0.275,0.5720000000000001,0.41,0.293,0.177,0.085,TGO
140,India,4.015,0.755,0.765,0.588,0.498,0.2,0.085,IND
141,Liberia,3.975,0.073,0.922,0.44299999999999995,0.37,0.233,0.033,LBR
142,Comoros,3.9730000000000003,0.27399999999999997,0.757,0.505,0.142,0.275,0.078,COM
143,Madagascar,3.9330000000000003,0.27399999999999997,0.9159999999999999,0.555,0.14800000000000002,0.16899999999999998,0.040999999999999995,MDG
144,Lesotho,3.802,0.489,1.169,0.168,0.359,0.107,0.09300000000000001,LSO
145,Burundi,3.775,0.046,0.447,0.38,0.22,0.17600000000000002,0.18,BDI
146,Zimbabwe,3.6630000000000003,0.366,1.114,0.433,0.361,0.151,0.08900000000000001,ZWE
147,Haiti,3.597,0.32299999999999995,0.688,0.449,0.026000000000000002,0.419,0.11,HTI
148,Botswana,3.488,1.041,1.145,0.5379999999999999,0.455,0.025,0.1,BWA
150,Malawi,3.41,0.191,0.56,0.495,0.44299999999999995,0.218,0.08900000000000001,MWI
151,Yemen,3.38,0.287,1.163,0.46299999999999997,0.14300000000000002,0.10800000000000001,0.077,YEM
152,Rwanda,3.3339999999999996,0.359,0.711,0.614,0.555,0.217,0.41100000000000003,RWA
153,Tanzania,3.2310000000000003,0.47600000000000003,0.885,0.499,0.41700000000000004,0.276,0.147,TZA
154,Afghanistan,3.2030000000000003,0.35,0.517,0.361,0.0,0.158,0.025,AFG
155,Central African Republic,3.083,0.026000000000000002,0.0,0.105,0.225,0.235,0.035,CAF
156, South Sudan,2.853,0.306,0.575,0.295,0.010,0.202,0.091,SDN
